City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Los Llanos De Aridane,ES,75.2,clear sky,28.66,-17.92,Valle Aridane
294,Kavaratti,IN,81.16,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
297,Cabedelo,BR,78.8,few clouds,-6.98,-34.83,Lua Mansa Pousada
303,Sabang,ID,82.78,overcast clouds,5.89,95.32,Hotel Citra
308,Stephenville,US,82.4,clear sky,32.22,-98.2,La Quinta Inn & Suites by Wyndham Stephenville
309,Umm Lajj,SA,86.09,clear sky,25.02,37.27,Moon light Furnished Units
311,Karratha,AU,80.22,light rain,-20.74,116.85,ibis Styles Karratha
312,San Ramon,US,90.0,clear sky,37.78,-121.98,San Ramon Marriott
314,Oriximina,BR,84.09,light rain,-1.77,-55.87,Pousada Tia Amélia
316,Nata,PA,82.4,moderate rain,8.33,-80.52,Cabañas Estancia Bayamon
317,Tabou,CI,76.95,light rain,4.42,-7.35,hotêl doufoulougou
320,Quatre Cocos,MU,75.2,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
323,Bathsheba,BB,80.6,broken clouds,13.22,-59.52,Atlantis Hotel
324,Bougouni,ML,78.85,clear sky,11.42,-7.48,Non Stop
328,Denpasar,ID,80.6,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
331,Victoria,HK,78.01,light rain,22.29,114.16,Mini Hotel Central
337,Georgetown,MY,75.2,few clouds,5.41,100.34,Cititel Penang
339,Pacific Grove,US,88.0,clear sky,36.62,-121.92,Lovers Point Inn
341,Miranda,CO,84.2,broken clouds,3.25,-76.23,Parqueadero toño lasso
344,Rawson,AR,75.99,broken clouds,-43.3,-65.1,Hotel Punta León
345,Puerto Carreno,CO,86.34,broken clouds,6.19,-67.49,Casa Hotel Victoria
352,Rivadavia,AR,87.8,clear sky,-33.19,-68.46,Posada Del Fin Del Mundo
359,Cabo San Lucas,MX,87.8,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
366,Laurens,US,88.0,broken clouds,32.45,-82.92,Holiday Inn Express & Suites Dublin
367,General Roca,AR,87.8,clear sky,-39.03,-67.58,Hotel El Recreo
368,Paragominas,BR,82.13,light rain,-2.97,-47.48,HOTEL RODA VIVA
369,Houma,US,87.8,broken clouds,29.6,-90.72,Courtyard by Marriott Houma
372,Horqueta,PY,88.66,overcast clouds,-23.34,-57.06,Hospedaje Heina
373,Fomboni,KM,79.34,light rain,-12.28,43.74,Auberge les abou
374,Cayenne,GF,86.0,broken clouds,4.93,-52.33,Hôtel Le Dronmi
376,Iracoubo,GF,82.56,clear sky,5.48,-53.2,Le Gite D Iracoubo
384,Vieux-Habitants,GP,78.8,few clouds,16.06,-61.77,Gîtes Dardanelle
389,Galesong,ID,75.2,overcast clouds,-5.32,119.37,Sapriadi Appy
395,Bandar-E Lengeh,IR,79.36,clear sky,26.56,54.88,کافی نت پارس
396,Vanimo,PG,78.55,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
400,Kralendijk,BQ,87.8,clear sky,12.15,-68.27,Divi Flamingo Beach Resort & Casino
401,Mango,US,88.0,scattered clouds,27.98,-82.31,Embassy Suites by Hilton Tampa Brandon - OPEN
402,Grand-Lahou,CI,77.14,overcast clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
408,Bangui,CF,75.2,thunderstorm,4.36,18.55,SAM HOTEL
415,Guanica,PR,82.99,light rain,17.97,-66.91,Copamarina Beach Resort & Spa
416,Phan Thiet,VN,76.84,light rain,10.93,108.1,Hotel Saigon-PT
417,Harrison,US,87.8,clear sky,30.41,-89.04,Residence Inn by Marriott Gulfport-Biloxi Airport
427,Boali,CF,75.2,thunderstorm,4.8,18.13,Auberge des Cocotiers Boali poste
430,Barao De Melgaco,BR,82.4,broken clouds,-16.19,-55.97,Tuiuiu Pantanal Hotel
433,Port Antonio,JM,84.2,scattered clouds,18.18,-76.46,Trident Hotel
435,Touros,BR,80.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
436,Namatanai,PG,77.76,light rain,-3.67,152.43,Namatanai Hotel
437,Leon,MX,82.4,broken clouds,21.12,-101.67,Hotel Misión León
439,Sao Filipe,CV,80.89,few clouds,14.9,-24.5,Tortuga B&B
440,Marsh Harbour,BS,82.81,overcast clouds,26.54,-77.06,Abaco Beach Resort
442,Upata,VE,83.07,light rain,8.01,-62.4,Posada Villa Nela
451,Paraipaba,BR,80.01,broken clouds,-3.44,-39.15,Hotel Passagem do Tigre
455,Abnub,EG,80.6,broken clouds,27.27,31.15,مسجد الخطبة
459,Laksham,BD,77.79,overcast clouds,23.25,91.14,MRI ROBEL
465,Kavieng,PG,81.54,moderate rain,-2.57,150.8,Nusa Island Retreat
466,Lujan,AR,80.01,clear sky,-34.57,-59.1,Hotel Biarritz
469,Tual,ID,81.19,overcast clouds,-5.67,132.75,Grand Vilia Hotel
470,Kahului,US,87.8,few clouds,20.89,-156.47,Maui Seaside Hotel
471,Santa Rosa,PH,78.8,moderate rain,14.31,121.11,Erlyn’s Sta Rosa City Home
476,Moa,CU,83.88,light rain,20.66,-74.94,Renta en Divisa
477,Ahuimanu,US,86.0,broken clouds,21.44,-157.84,Paradise Bay Resort
479,Lompoc,US,87.01,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
481,Praya,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
486,Jieshi,CN,75.99,overcast clouds,22.81,115.83,Yuehai Hotel
489,Puri,IN,77.0,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
494,Baculin,PH,78.85,light rain,7.45,126.58,Shovy's Cove
497,Tiarei,PF,84.2,few clouds,-17.53,-149.33,Le Rocher de Tahiti
505,Manaus,BR,86.0,scattered clouds,-3.1,-60.02,Hotel do Largo
506,Ixtapa,MX,89.6,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
508,Katobu,ID,75.04,overcast clouds,-4.94,122.53,La Ode Husein
509,Bandarbeyla,SO,79.03,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
512,Ibirama,BR,75.0,broken clouds,-27.06,-49.52,Hotel Soralete
513,Neuquen,AR,87.8,clear sky,-38.95,-68.06,Hotel del Comahue
516,Dwarka,IN,84.92,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
517,Chapada Dos Guimaraes,BR,82.4,light intensity shower rain,-15.46,-55.75,Pousada Morro Dos Ventos
522,Macau,MO,78.8,scattered clouds,22.2,113.55,Grand Emperor Hotel
533,Bilma,NE,88.79,clear sky,18.69,12.92,Expeditions Ténére voyages
536,Kualakapuas,ID,77.0,few clouds,-3.01,114.39,Guest House Izonk
538,Bhind,IN,79.12,broken clouds,26.56,78.79,Hotel Kanha Palace and Family Restaurant
540,Pizarro,CO,76.26,overcast clouds,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
541,Port Blair,IN,79.38,moderate rain,11.67,92.75,Fortune Resort Bay Island
545,Biak,ID,77.58,overcast clouds,-0.91,122.88,Kost Ariz
547,Pedra,BR,76.26,scattered clouds,-8.5,-36.94,Pousada Oceanus
548,Samarai,PG,80.15,light rain,-10.62,150.67,Nuli Sapi
554,Brownsville,US,88.0,broken clouds,25.9,-97.5,Hotel Alameda Express
556,Pitimbu,BR,78.8,few clouds,-7.47,-34.81,Reserva do Abiaí
557,Beihai,CN,75.06,moderate rain,21.48,109.1,21 Degree Hostel
561,Tete,MZ,77.0,few clouds,-16.16,33.59,Zambeze Paraíso Misterioso
564,Lorengau,PG,81.43,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
569,Jarabacoa,DO,89.6,scattered clouds,19.12,-70.64,apartamento primaveral
570,Safaga,EG,84.2,clear sky,26.73,33.94,Lamar Resort Abu Soma
576,Palu,ID,75.58,overcast clouds,-0.89,119.87,Hotel Santika Palu
581,Pundaguitan,PH,82.18,light rain,6.37,126.17,Leonardo Family Beach House 1
585,Guarapari,BR,78.01,overcast clouds,-20.67,-40.5,Hotel Porto do Sol
588,Poum,NC,75.49,clear sky,-20.23,164.02,Gîte kajeon
589,San Luis,AR,84.58,clear sky,-33.3,-66.34,Huarpes Hotel
590,Aswan,EG,86.7,clear sky,24.09,32.91,Nuba Nile
595,Ishigaki,JP,79.14,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
596,Tomatlan,MX,89.31,broken clouds,19.93,-105.25,Norma franco
597,Lazaro Cardenas,MX,86.43,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
611,San Rafael,AR,87.64,clear sky,-34.62,-68.33,Hotel San Rafael
615,Finschhafen,PG,81.23,overcast clouds,-6.6,147.87,Cossam Guest House
617,Cap Malheureux,MU,75.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
622,Ca Mau,VN,76.32,moderate rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
625,Jasdan,IN,82.15,overcast clouds,22.03,71.2,Dhirubhai Bhelvala
628,Ukiah,US,89.01,clear sky,39.15,-123.21,Hampton Inn Ukiah
630,Liberal,US,78.8,clear sky,37.04,-100.92,Hampton Inn & Suites Liberal
634,Damietta,EG,77.0,clear sky,31.42,31.81,العواد لتجارة الابلكاش
636,Ratnagiri,IN,78.13,light rain,16.98,73.3,Hotel Landmark
640,Polewali,ID,77.04,broken clouds,-3.43,119.34,Lilianto Hotel
641,Gwadar,PK,76.53,clear sky,25.12,62.33,Sadaf Resort
645,Papara,BR,80.6,few clouds,-3.98,-38.73,Bela vista Maranguape
646,Maun,BW,78.8,clear sky,-19.98,23.42,Enviro Villa
647,Awbari,LY,75.94,clear sky,26.59,12.78,فندق أوباري
648,Sur,OM,77.13,clear sky,22.57,59.53,Sur Plaza Hotel
651,Rosita,NI,79.54,moderate rain,13.93,-84.4,Colonia Cristo Rey
654,Coihueco,CL,77.0,clear sky,-36.62,-71.83,Frutillares Coihueco
655,Padang,ID,77.41,overcast clouds,-0.95,100.35,Mercure Padang
657,Sawakin,SD,82.99,clear sky,19.11,37.33,فندق الدويم
660,Iralaya,HN,85.59,light rain,15.0,-83.23,Iglesia morava renovada
665,Phalodi,IN,82.81,scattered clouds,27.13,72.37,"HOTEL NEW GOLDEN PALACE , PHALODI"
667,Bom Jesus,BR,88.32,clear sky,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
668,Abu Dhabi,AE,87.8,clear sky,24.47,54.37,Beach Rotana
670,Maceio,BR,78.8,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
671,Mecca,SA,76.5,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
678,Boulder,US,75.2,clear sky,40.08,-105.35,Deck House Boulder
680,Sumenep,ID,80.46,overcast clouds,-7.02,113.87,OYO 3271 Homestay Pandian
685,Ambunti,PG,75.4,overcast clouds,-4.24,142.84,Ambunti Lodge
