City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Avarua,CK,-21.21,-159.78,75.2,53,8,4.7,clear sky
84,Tres Arroyos,AR,-38.37,-60.28,72.81,63,0,8.34,clear sky
85,Dingzhou,CN,38.51,115.0,55.4,37,100,2.24,overcast clouds
86,Vila Franca Do Campo,PT,37.72,-25.43,68.0,77,40,10.29,scattered clouds
87,Halifax,CA,44.65,-63.57,53.6,81,75,12.75,broken clouds
88,Gat,IL,31.61,34.76,75.0,64,40,2.24,scattered clouds
89,Te Anau,NZ,-45.42,167.72,40.39,83,69,0.72,broken clouds
90,Totolapan,MX,18.52,-96.18,87.8,70,40,13.87,scattered clouds
91,Vaini,TO,-21.2,-175.2,75.2,69,20,9.17,few clouds
92,Nichinan,JP,31.6,131.37,66.18,77,0,2.91,clear sky
93,Meulaboh,ID,4.14,96.13,75.56,81,100,4.79,overcast clouds
94,Ntcheu,MW,-14.82,34.64,65.23,86,99,5.77,overcast clouds
95,Cherskiy,RU,68.75,161.3,32.7,90,100,12.91,overcast clouds
96,Kosh-Agach,RU,50.0,88.67,25.43,96,100,4.88,snow
97,Port Alfred,ZA,-33.59,26.89,57.61,75,1,12.97,clear sky
98,Hamilton,US,39.18,-84.53,70.0,28,1,6.93,clear sky
99,Haines Junction,CA,60.75,-137.51,36.91,76,88,3.56,overcast clouds
100,Tuatapere,NZ,-46.13,167.68,45.0,73,65,10.0,light rain
101,Ribeira Grande,PT,38.52,-28.7,69.8,77,75,20.8,broken clouds
102,Tasiilaq,GL,65.61,-37.64,39.2,86,100,18.34,light rain
103,Guangyuan,CN,32.44,105.82,60.01,99,100,21.0,light rain
104,Najran,SA,17.49,44.13,71.6,28,0,2.24,clear sky
105,Panguna,PG,-6.32,155.48,67.91,100,100,4.92,light rain
106,Hofn,IS,64.25,-15.21,46.35,80,25,14.47,scattered clouds
107,Kampene,CD,-3.6,26.67,69.06,92,100,1.32,overcast clouds
108,Hobart,AU,-42.88,147.33,45.0,87,20,8.05,few clouds
109,Lerwick,GB,60.15,-1.15,50.0,81,94,20.8,overcast clouds
110,Faanui,PF,-16.48,-151.75,78.3,77,0,11.1,clear sky
111,Coahuayana,MX,18.73,-103.68,84.2,74,40,5.35,scattered clouds
112,Amahai,ID,-3.33,128.92,80.01,94,48,3.94,scattered clouds
113,Uivar,RO,45.66,20.91,46.4,87,90,10.29,overcast clouds
114,Dhidhdhoo,MV,6.88,73.1,81.97,78,1,23.71,light rain
115,Hithadhoo,MV,-0.6,73.08,82.47,73,100,10.4,overcast clouds
116,Liverpool,GB,53.41,-2.98,51.8,87,20,12.75,few clouds
117,Butaritari,KI,3.07,172.79,81.79,73,65,20.29,broken clouds
118,Ust-Kuyga,RU,70.02,135.6,11.39,94,83,1.97,broken clouds
119,Huangmei,CN,30.19,116.03,63.77,84,0,4.38,clear sky
120,Atambua,ID,-9.11,124.89,71.8,72,45,3.94,scattered clouds
121,Solnechnyy,RU,50.72,136.63,32.18,86,100,1.52,overcast clouds
122,Provost,CA,52.35,-110.27,46.15,51,100,3.89,overcast clouds
123,Pevek,RU,69.7,170.31,27.64,85,84,11.03,broken clouds
124,Abalak,RU,58.13,68.59,44.94,83,86,7.87,overcast clouds
125,Cagliliog,PH,13.9,123.29,76.01,83,100,8.86,heavy intensity rain
126,East London,ZA,-33.02,27.91,59.86,67,9,15.95,clear sky
127,Paamiut,GL,61.99,-49.67,37.56,90,96,10.8,light rain
128,Bara,NG,10.37,10.73,77.81,81,32,6.15,scattered clouds
129,Esmeraldas,BR,-19.76,-44.31,84.2,45,40,5.82,scattered clouds
130,Mexico,PH,15.06,120.72,75.2,78,75,2.24,broken clouds
131,Bratsk,RU,56.13,101.61,23.0,92,94,3.65,overcast clouds
132,Opuwo,NA,-18.06,13.84,71.96,27,45,2.73,scattered clouds
133,Wonthaggi,AU,-38.6,145.59,57.0,83,99,12.8,overcast clouds
134,Praia,CV,14.92,-23.51,78.8,74,40,13.87,scattered clouds
135,Selty,RU,57.31,52.13,49.98,86,100,7.36,overcast clouds
136,Ziyang,CN,29.25,117.85,64.42,84,66,4.27,broken clouds
137,Ancud,CL,-41.87,-73.82,61.0,62,75,10.29,broken clouds
138,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,90.5,55,71,0.83,broken clouds
139,Longyearbyen,SJ,78.22,15.64,35.6,74,75,13.87,broken clouds
140,Russell,US,32.35,-85.2,86.0,48,1,6.93,clear sky
